classs,question
ENTY,ദ ഗേൾ കാൻഡ് ഹെൽപ്പ് ഇറ്റിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,ഹെൽസ് എയ്ഞ്ചൽസിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഉള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ദ പേപ്പർ വിൽ ബി ബ്ലൂവിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
NUM,സ്റ്റാൻലി റാവു എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,ലെസ്ലി സാൻഡ്സ് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്തത് ആരാണ്
NUM,ജെഫ്രി ബല്ലാർഡ് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,നാദവ് ലാപിഡ് എഴുതിയ സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ക്വിൻ കമ്മിംഗ്സിനൊപ്പം ഒരേ സിനിമയിൽ പ്രത്യക്ഷപ്പെട്ടു
ENTY,ഏത് തിരക്കഥാകൃത്തുക്കളാണ് ക്ലെമൻ്റ്സ് റിപ്ലേയ്‌ക്കൊപ്പം സിനിമകൾ എഴുതിയത്
ENTY,ലേക് ഹൗസിലെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
HUM,ഡെസ്മണ്ട് നകാനോ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ അഭിനയിച്ചു
ENTY,മുതിർന്നവരുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,സൂസൻ സരണ്ടൻ അഭിനയിച്ച സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
HUM,ക്രിസ് ഡി അരിയെൻസോ എന്ന എഴുത്തുകാരനുവേണ്ടി സിനിമകളിൽ അഭിനയിച്ചു
ENTY,മോഹൻ മർനോ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,എറാൻ ക്രീവി എഴുതിയ സിനിമകളുടെ തരങ്ങൾ എന്തൊക്കെയാണ്
HUM,പീറ്റർ നസ് സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ അഭിനയിച്ചു
ENTY,ഡ്രൈവ് ആംഗ്രിയുടെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,നീൽ കസാഡി എഴുതിയ സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,ജുട്ട ഹോഫ്മാൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്?
ENTY,സലാദിൻ കെ പാറ്റേഴ്സൺ എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,അലക്സാണ്ടർ ക്ലീൻ എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,എസ്റ്റെല്ലെ ടെയ്‌ലർ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
HUM,വാലൻ്റീന കോർട്ടെസ് എന്ന നടൻ ആരോടൊപ്പം ഒരുമിച്ച് അഭിനയിച്ചു
NUM,തിയോഡോർ ഐസക് റൂബിൻ രചിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,റോസ്മേരി ലെയ്ൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,യെകറ്റെറിന റെഡ്നിക്കോവ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ബോബ്കാറ്റ് ഗോൾഡ് വൈറ്റ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,റോബർട്ട് ഹാർലിംഗ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
NUM,എപ്പോഴാണ് തകേഷി കിറ്റാനോ അഭിനയിച്ച ചിത്രങ്ങൾ റിലീസ് ചെയ്തത്
HUM,മാൽക്കം മാർമോർസ്റ്റീൻ സംവിധാനം ചെയ്ത സിനിമകളിൽ അഭിനയിച്ചിട്ടുണ്ട്
ENTY,ഡോൺ ഡിലില്ലോ എഴുതിയ സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
ENTY,ലാ നോട്ടിൻ്റെ അതേ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ്
NUM,ജോൺ ബ്രൂണോ സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,കാസ്പർ ക്രിസ്റ്റൻസൻ എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
HUM,ജെറി ട്രിംബിൾ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,എ പ്രയർ ഫോർ ദി ഡൈയിംഗിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
HUM,ബിയാട്രിസ് ഡാലെ അഭിനയിച്ച ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത്
ENTY,ഹാരി ബ്രൗൺ എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ് വരുന്നത്
HUM,റൂഡി റാമോസ് അഭിനയിച്ച സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
NUM,ഡേവിഡ് ഗമ്പൽ സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,ദ സ്റ്റോറി ഓഫ് ഡോ. വാസലിൻ്റെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
HUM,അക്കിയുകി നൊസാക്കയ്‌ക്കൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
HUM,റേച്ചൽ ബോസ്റ്റൺ അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്തായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,ജോൺ കോൾട്ടൺ എന്ന എഴുത്തുകാരനുവേണ്ടി സിനിമകളിൽ അഭിനയിച്ചു
ENTY,ദി സ്‌നേക്ക് പിറ്റിലെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,ലുക്കിംഗ് ഫോർ എറിക്കിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളും സംവിധാനം ചെയ്തു
ENTY,റാൻഡോൾഫ് സ്കോട്ട് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
HUM,ജോ ആൻഡേഴ്സൺ എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ലോസ്റ്റ് ബൗണ്ടറികളിലെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,പാഷൻ പ്ലേയുടെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,ജോൺ എർവിൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
NUM,ബിൽ ഫ്രോഹ്‌ലിച്ച് എഴുതിയ സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
NUM,റാൻഡി ന്യൂമാൻ എഴുതിയ സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
ENTY,ദ വാർലോർഡ്‌സിൻ്റെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ
HUM,അരി ഗ്രെയ്‌നർ അഭിനയിച്ച സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
HUM,നടൻ ജാക്വലിൻ പിയേഴ്സ് അതേ സിനിമയിൽ ആരോടൊപ്പം പ്രത്യക്ഷപ്പെട്ടു
ENTY,ബെൻ ഗ്ലക്ക് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,പെൻ്റഗൺ പേപ്പേഴ്‌സിൻ്റെ അതേ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ്
ENTY,അമ്മ സീരിയലിൻ്റെ സംവിധായകൻ ഏതൊക്കെ ചിത്രങ്ങളാണ് സംവിധാനം ചെയ്തതും
HUM,ലിയോ ബിൽ അഭിനയിച്ച സിനിമകൾ എഴുതിയത്
ENTY,ജെയിംസ് ബക്ക്ലി അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,തിരക്കഥാകൃത്ത് സ്റ്റുവർട്ട് ഹേസൽഡിൻ ആരുമായി ചേർന്ന് ചിത്രങ്ങളെഴുതി
ENTY,മാർക്ക് ട്വെയിനിൻ്റെ അതേ നടൻ ഉള്ള സിനിമകൾ
HUM,ക്യാബ് കലോവേ അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്ത് എന്ന നിലയിൽ ലിസ്റ്റിൽ ഉൾപ്പെട്ടിട്ടുണ്ട്
ENTY,ദ അൺഇൻവിറ്റഡിൻ്റെ അതേ സംവിധായകൻ ഉള്ള സിനിമകൾ
ENTY,നാച്ചുറൽ ബോൺ കില്ലേഴ്‌സിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളും സംവിധാനം ചെയ്തു
ENTY,വൈറ്റ് നൈറ്റ്‌സിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ് സംവിധാനം ചെയ്തത്
HUM,ഡെബോറ മൊഗാച്ച് എഴുതിയ സിനിമകളുടെ സംവിധായകർ
HUM,ബോബ് ഫ്രാങ്ക്ലിൻ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,ജാൻ കൂനൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
NUM,ബോബ് ബാലബൻ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,ക്ലിഫ് ഗോർമാൻ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
NUM,ജോഷ് റാഡ്‌നോർ സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ ഏതൊക്കെ വർഷങ്ങളിലാണ് പുറത്തിറങ്ങിയത്
ENTY,ഡെയ്ൽ റോസൻബ്ലൂം എഴുതിയ സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ഡോൺ സീഗൽ സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത്
ENTY,യേശുവിൻ്റെ പുത്രനുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,ജൂലി ഡേവിസ് സംവിധാനം ചെയ്ത ചിത്രങ്ങളുടെ തിരക്കഥാകൃത്ത്
ENTY,കുറ്റകൃത്യങ്ങളും തെറ്റിദ്ധാരണകളും ഉപയോഗിച്ച് തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,ആനി പാരിഷ് എഴുതിയ ചിത്രങ്ങളിൽ അഭിനയിച്ചു
ENTY,ആദം ആൻ്റ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ് വരുന്നത്
HUM,ചാൾസ് സ്റ്ററിഡ്ജ് സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത്
ENTY,ഓഡ്രി ടൗട്ടൂ അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
ENTY,സ്വിച്ചിംഗ് ഗോളുകളുടെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
HUM,റോബർട്ട് ഇ തോംസൺ എഴുതിയ സിനിമകളിലെ അഭിനേതാക്കൾ
HUM,ഡിലൻ മക്‌ഡെർമോട്ടിനൊപ്പം അഭിനയിച്ചവർ
ENTY,ഇൻ ടു ദി വൈൽഡിലെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
HUM,ക്ലിൻ്റ് ഹോവാർഡ് അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്തായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,നെവ് കാംബെൽ എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
NUM,ബ്രിട്ട് ആൾക്രോഫ്റ്റ് സംവിധാനം ചെയ്ത സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ഫ്രെഡറിക് ഡ്യൂറൻമാറ്റിൻ്റെ സിനിമാ സഹ-എഴുത്തുകാരാണ്
ENTY,Meteor Man എന്ന നടൻ്റെ അതേ നടനുള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ഡെക്ക് ദ ഹാൾസിലെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
HUM,മൈക്കൽ മേയർ സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത് ആരാണ്?
NUM,ഹെക്ടർ ഒലിവേര സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,വെറോണിക്ക ടെയ്‌ലർ അഭിനയിച്ച സിനിമകളുടെ സംവിധായകർ
HUM,ജോർജ്ജ് മേയർ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
ENTY,ചാൾസ് വെബ് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ചെറിൽ ലാഡ് അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,ജൂൾസ് സ്റ്റുവർട്ട് സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,മെയ് ഫൂൾസിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഉള്ള സിനിമകൾ ഏതൊക്കെയാണ്
NUM,പിയറി ഗെല്ലർ രചിച്ച സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
ENTY,റോബർട്ട് എഫ്. ഹില്ലിൻ്റെ സിനിമാ സഹ-എഴുത്തുകാർ
ENTY,ക്യാച്ച് മി ഇഫ് യു കാൻ എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,"റൈറ്റൺ ഓൺ ദി വിൻഡ്' എന്ന സിനിമയുടെ സംവിധായകന് വേണ്ടി സിനിമകളിൽ അഭിനയിച്ചത്,"
ENTY,ക്രീപ്‌ഷോ എന്ന സിനിമയ്‌ക്കൊപ്പം അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
NUM,ഗ്രോൺ അപ്പ്സ് 2' എന്ന ചിത്രത്തിലൂടെ എഴുത്തുകാരെ പങ്കുവയ്ക്കുന്ന സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തൊക്കെയായിരുന്നു
HUM,ദി ഇന്നർ സർക്കിൾ അഭിനേതാക്കളുടെ ചിത്രങ്ങളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയത്
ENTY,ഡാൻസ് ഓഫ് റിയാലിറ്റി' എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,സ്കാർലറ്റ് സ്ട്രീറ്റുമായി സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ഷീയുടെ എഴുത്തുകാരൻ എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരാണ്
ENTY,വാക്‌സ് വർക്ക്‌സ് എന്ന സിനിമയ്‌ക്കൊപ്പം അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,ദി ബ്രോക്കൺ സർക്കിൾ ബ്രേക്ക്ഡൗണിൻ്റെ രചയിതാവിന് വേണ്ടി സിനിമകൾ സംവിധാനം ചെയ്തത്
NUM,ജൂപ്പിറ്റർ ആരോഹണ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,"ബുക്കാനൻ റൈഡ്സ് എലോൺ എന്ന ചിത്രത്തിലൂടെ അഭിനേതാക്കളെ പങ്കുവയ്ക്കുന്ന സിനിമകൾ സംവിധാനം ചെയ്തത് ആരായിരുന്നു,"
NUM,സെൻഡ് മി നോ ഫ്‌ളവേഴ്‌സ് റൈറ്റേഴ്‌സ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,അവരുടെ സിനിമകളിലെ അഭിനേതാക്കൾ ദ ക്രിയേച്ചർ വാസ് നോട്ട് നൈസ് എന്ന സിനിമയിലും പ്രത്യക്ഷപ്പെടുന്ന എഴുത്തുകാർ ആരാണ്
NUM,സ്‌പെൻസേഴ്‌സ് മൗണ്ടൻ ആക്ടേഴ്‌സ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,ട്രോഗ് അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
HUM,അവരുടെ സിനിമകളുടെ സംവിധായകരും ദി എൻഡ് ഓഫ് ദി അഫയർ സംവിധാനം ചെയ്ത തിരക്കഥാകൃത്തുക്കൾ ആരാണ്
ENTY,ഹാർഡ് റെയ്‌നിലെ അഭിനേതാക്കളും അഭിനയിക്കുന്ന സിനിമകളിൽ സംസാരിക്കുന്ന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,എക്‌സ്-ലേഡി' എന്ന് രചയിതാക്കളും എഴുതിയ സിനിമകളുടെ തരങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഫ്ലിക്കറിംഗ് ലൈറ്റ്‌സിൻ്റെ സംവിധായകനുവേണ്ടി സിനിമകളിൽ അഭിനയിച്ചത്
ENTY,സ്കാർഫേസിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
ENTY,സ്‌ക്വിർമിനൊപ്പം സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ദ സ്ലിംഗ്ഷോട്ടിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,ദ അൺസിങ്കബിൾ മോളി ബ്രൗൺ എന്ന ചിത്രത്തിലൂടെ എഴുത്തുകാരെ പങ്കുവയ്ക്കുന്ന സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,എ വെരി പോട്ടർ മ്യൂസിക്കൽ' രചിച്ച എഴുത്തുകാരുടെ സിനിമകളിൽ അഭിനയിച്ചവർ
NUM,വിൻ്റർ പാസിംഗ് എന്ന സിനിമയിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,പീപ്പിൾ ലൈക്ക് അസ്' എന്ന രചയിതാക്കളും എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരാണ്
HUM,Deathstalker II-ൻ്റെ എഴുത്തുകാരന് വേണ്ടി സിനിമകൾ സംവിധാനം ചെയ്തത്
HUM,ലയൺസ് ഫോർ ലാംബ്‌സ് എന്ന എഴുത്തുകാരൻ എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചത് ആരായിരുന്നു
ENTY,സമ്മർ അവേഴ്‌സ് തിരക്കഥാകൃത്തുക്കളും എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
NUM,ദ ടീഹൗസ് ഓഫ് ദി ആഗസ്റ്റ് മൂണിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,"ദ മിറർ ഹാസ് ടു ഫെയ്‌സ്' എന്ന ചിത്രത്തിൻ്റെ സംവിധായകൻ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ ആരൊക്കെയാണ്,"
ENTY,ദി വാനിഷിംഗ് അമേരിക്കൻ എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കുവയ്ക്കുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,"ദി കോംബാക്ക്സ്' എന്ന സിനിമയ്‌ക്കൊപ്പം സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ എഴുതിയത്,"
NUM,ബേർഡി എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,കിഡ് മില്യൺസിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തത് ആരാണ്
ENTY,"ദി 40-ഇയർ-ഓൾഡ് വിർജിൻ' എന്ന സിനിമയിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്,"
NUM,ദ റെഡ് വയലിൻ സംവിധാനം ചെയ്ത സംവിധായകർ എപ്പോഴാണ് സിനിമകൾ പുറത്തിറങ്ങിയത്'
HUM,ട്രസ്റ്റ് എഴുതിയ എഴുത്തുകാരും സിനിമകളുടെ സംവിധായകർ
ENTY,മിൻ ആൻഡ് ബില്ലിൻ്റെ സംവിധായകൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
NUM,റോസ്‌വുഡ് സിനിമയ്‌ക്കൊപ്പം സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വർഷത്തിലാണ് പുറത്തിറങ്ങിയത്
HUM,ദ സ്റ്റുപ്പിഡ്‌സിൻ്റെ സംവിധായകൻ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ അഭിനയിച്ചത്
HUM,സലോമിയുടെ അവസാന നൃത്തം എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരാണ്
NUM,മേരിയുടെയും മാർത്തയുടെയും എഴുത്തുകാരി എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,ജൂലി അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,22 ജമ്പ് സ്ട്രീറ്റ് ഉള്ള അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിൽ പെടുന്നു
ENTY,ബില്ലി എലിയറ്റ് എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,ജാർഹെഡ് എന്ന സിനിമയ്‌ക്കൊപ്പം അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ എഴുതിയത്
HUM,അവരുടെ സിനിമകളിലെ അഭിനേതാക്കൾ മെഴുകുതിരി എന്ന സിനിമയിലും പ്രത്യക്ഷപ്പെടുന്ന സംവിധായകർ ആരാണ്
ENTY,മാക് ആൻഡ് മി തിരക്കഥാകൃത്തുക്കൾ എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,പൾപ്പ് ഫിക്ഷൻ സംവിധായകർ സംവിധാനം ചെയ്ത സിനിമകളിൽ സംസാരിക്കുന്ന ഭാഷകൾ ഏതൊക്കെയാണ്
HUM,കോമണിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
NUM,ദി പാക്കേജ് എന്ന സിനിമയ്‌ക്കൊപ്പം സംവിധായകരെ പങ്കിടുന്ന സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തൊക്കെയായിരുന്നു
HUM,വാട്ട് എവർ ഹാപ്പൻഡ് ടു ബേബി ജെയ്ൻ സംവിധാനം ചെയ്ത സിനിമകളിൽ ആരാണ് അഭിനയിച്ചത്?
ENTY,സിറ്റി ഓഫ് ഹോപ്പ് എന്ന സിനിമയുമായി അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,അവരുടെ സിനിമകളുടെ സംവിധായകർ ലിലി മർലീനും സംവിധാനം ചെയ്ത എഴുത്തുകാർ ആരാണ്
HUM,അവരുടെ സിനിമകളുടെ സംവിധായകർ 100 പെൺകുട്ടികൾ സംവിധാനം ചെയ്ത തിരക്കഥാകൃത്തുക്കളാണ്
HUM,ബെല്ലെ സ്റ്റാർ എന്ന സിനിമയിലും അവരുടെ സിനിമകളിലെ അഭിനേതാക്കൾ പ്രത്യക്ഷപ്പെടുന്ന സംവിധായകർ ആരാണ്
NUM,റിട്ടേൺ ഓഫ് ദി ഫ്ലൈ സംവിധായകൻ സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
NUM,ഫാളിംഗ് ഡൗൺ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,സിറ്റാഡലിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,ബിയോണ്ട് ഔട്രേജുമായി സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വിഭാഗത്തിൽ പെടുന്നു
ENTY,സ്ലംഡോഗ് മില്യണയർ സംവിധായകൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,ഫ്രഞ്ച്മാൻസ് ക്രീക്കിൻ്റെ തിരക്കഥാകൃത്ത് എഴുതിയ സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
HUM,പേഴ്സണയുടെ സംവിധായകൻ സംവിധാനം ചെയ്ത സിനിമകൾ ആരാണ് അഭിനയിച്ചത്
NUM,ഡ്രീം ഹൗസ് എന്ന ചിത്രവുമായി എഴുത്തുകാരെ പങ്കുവയ്ക്കുന്ന സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തൊക്കെയായിരുന്നു
NUM,ഹാർട്ട് ബ്രേക്കേഴ്‌സ്' എന്ന രചയിതാക്കളും എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,അവരുടെ സിനിമകളിലെ അഭിനേതാക്കൾ ഡൗൺ ടു ദ ബോൺ എന്ന സിനിമയിലും പ്രത്യക്ഷപ്പെടുന്ന എഴുത്തുകാർ ആരാണ്
HUM,ലോല മോണ്ടെസ് എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ എഴുതിയത്
HUM,കഷ്ടം എന്ന് എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരൊക്കെയാണ്
