text,type,labelname
"റോമൻ സാമ്രാജ്യത്തിന്റെ ഏത് സിനിമാ പര്യടനമാണ് ഈ ഉപദേശം അവതരിപ്പിക്കുന്നത്: ``നന്നായി തുഴയൂ, ജീവിക്കൂ'?",cremat,ENTY
ലോകത്തിലെ ഏറ്റവും വലിയ ചെറിയ നഗരം എന്നറിയപ്പെടുന്ന നെവാഡ കേന്ദ്രം ഏതാണ്?,city,LOC
"മിസോറിയിലെ ഇൻഡിപെൻഡൻസ്, 219 നോർത്ത് ഡെലവെയർ സ്ട്രീറ്റിൽ താമസിച്ചിരുന്ന രാഷ്ട്രപതി?",ind,HUM
ഇന്ത്യക്കാർ പലപ്പോഴും സ്കൂളിൽ നിന്ന് കൊഴിഞ്ഞുപോകുന്നു,reason Give a reason for American,DESC
ഒരു ഫുട്ബോൾ ഗോളിയെ പന്ത് കൈകാര്യം ചെയ്യാൻ അനുവദിക്കണമെങ്കിൽ എവിടെ നിൽക്കണം?,other,LOC
ക്ലാസിക്കൽ കണ്ടീഷനിംഗും ഓപ്പറേറ്റിംഗ് കണ്ടീഷനിംഗും തമ്മിലുള്ള വ്യത്യാസം എന്താണ്?,desc,DESC
ഏത് യു.എസ് സംസ്ഥാനത്താണ് ആദ്യ വനിതാ ഗവർണർ തിരഞ്ഞെടുക്കപ്പെട്ടത്?,state,LOC
ഡോഗ്‌സ്ലെഡിംഗിനെക്കുറിച്ചുള്ള ചില രസകരമായ വസ്തുതകളും വിവരങ്ങളും എന്തൊക്കെയാണ്?,desc,DESC
ഏത് വർഷമാണ് ഹിറ്റ്ലർ മരിച്ചത്?,date,NUM
ഏത് പ്രശസ്ത മോഡലാണ് ബില്ലി ജോയലിനെ വിവാഹം കഴിച്ചത്?,ind,HUM
ബാബർ ഏതുതരം മൃഗമാണ്?,animal,ENTY
ജെയ്ൻ ഗുഡാൽ എന്തിനാണ് അറിയപ്പെടുന്നത്?,reason,DESC
എന്താണ് ബോബ് മാർലിയെ കൊന്നത്?,other,ENTY
ഡംബോയുടെ ചെവികൾ എത്ര തുകയ്ക്കാണ് ഇൻഷ്വർ ചെയ്തിരിക്കുന്നത്?,money,NUM
1941-ൽ യു വിൽ നെവർ ഗെറ്റ് റിച്ച് എന്ന സിനിമയിൽ ഫ്രെഡ് അസ്റ്റയറിനൊപ്പം താരപരിവേഷത്തിലേക്ക് നൃത്തം ചെയ്തത് ആരാണ്?,ind,HUM
ആരാണ് സ്റ്റെയിൻ എറിക്സൻ?,desc,HUM
ബില്ലി എന്ന പേരിന്റെ അർത്ഥമെന്താണ്?,def,DESC
ലോകത്തിലെ ഏറ്റവും വേഗതയേറിയ നീന്തൽ താരം ആരാണ്?,ind,HUM
ആഫ്രിക്കയിലെ ഏറ്റവും ഉയരം കൂടിയ കൊടുമുടി ഏതാണ്?,mount,LOC
യു.എസിൽ പ്രോക്ടർ & ഗാംബിൾ ആസ്ഥാനം എവിടെയാണ്?,other,LOC
ഏത് മരുഭൂമിയാണ് അള്ളാഹുവിന്റെ പൂന്തോട്ടം എന്നറിയപ്പെടുന്നത്?,other,LOC
ബൈകോർണേറ്റ് മൃഗങ്ങൾക്ക് രണ്ടെണ്ണം എന്താണ്?,other,ENTY
ഒരു കമ്മ്യൂണിറ്റിയുടെ വാട്ടർ ടവർ എന്ത് പ്രവർത്തനമാണ് നടത്തുന്നത്?,reason,DESC
ബലഹീനതയെക്കുറിച്ചുള്ള ഭയം എന്താണ്?,dismed,ENTY
നോർത്ത് കരോലിനയിൽ നിന്ന് ഒഹായോയിലേക്ക് എത്ര മൈൽ ദൂരമുണ്ട്?,count,NUM
ഒരു ഇഞ്ച് മഴയ്ക്ക് എത്ര മഞ്ഞ് തുല്യമാണ്?,count,NUM
എന്താണ് ജി.എം.ടി. നില കൊള്ളുക?,exp,ABBR
Inuit ഉം Eskimo ഉം എന്താണ് അർത്ഥമാക്കുന്നത്?,def,DESC
ജോണി ക്യാഷ് ഷോയുടെ സമാപന പ്രമേയമായി വർത്തിച്ച ഗാനം ഏതാണ്?,cremat,ENTY
ദന്തഡോക്ടറായ വില്യം ബിയേഴ്‌സ് ഏത് ഫീൽഡ് സ്‌പോർട്‌സിന് വേണ്ടിയാണ് ഒരു സ്റ്റാൻഡേർഡ് റൂൾസ് ബുക്ക് പ്രൊമോട്ട് ചെയ്യുകയും എഴുതുകയും ചെയ്തത്?,sport,ENTY
ഞാൻ എങ്ങനെ ഡൈ വസ്ത്രങ്ങൾ കെട്ടും?,manner,DESC
ഒരു ശരാശരി കൗമാരക്കാരൻ ആദ്യമായി ലൈംഗിക ബന്ധത്തിൽ ഏർപ്പെടുന്നത് എപ്പോഴാണ്?,date,NUM
എന്തുകൊണ്ടാണ് www.answers.com-ൽ എന്റെ ചോദ്യങ്ങൾക്ക് ഉത്തരം ഇല്ലാത്തത്?,reason,DESC
ഏത് നടന്റെ ആത്മകഥയാണ് എന്റെ ഇന്നലെകൾ എന്ന പേരിൽ അറിയപ്പെടുന്നത്?,ind,HUM
എമിൽ ഗോൾഡ്ഫസ് എന്ന പേരിൽ യുഎസിൽ താമസിച്ചിരുന്ന റഷ്യൻ ചാരൻ?,ind,HUM
ഗോൾഫ് കോഴ്‌സിലെ 19-ാമത്തെ ദ്വാരം എവിടെയാണ്?,other,LOC
ചുഴലിക്കാറ്റുകൾക്ക് പ്രകൃതിയുടെ ഉദ്ദേശ്യം എന്താണ്?,reason,DESC
യഥാർത്ഥ ചാർലീസ് ഏഞ്ചൽസ് ആയി അഭിനയിച്ചത് ആരാണ്?,ind,HUM
ഒരു ടെലിഫോൺ നമ്പറിൽ നിന്ന് ഒരു വ്യക്തിയുടെ വിലാസം എനിക്ക് എവിടെ കണ്ടെത്താനാകും?,other,LOC
കവർ ഫയർ എന്നർത്ഥം വരുന്ന പഴയ ഫ്രഞ്ച് covrefeu എന്നതിൽ നിന്ന് വന്ന ഇംഗ്ലീഷ് പദം ഏതാണ്?,word,ENTY
ജെയിംസ് ജോൺസിന്റെ ഫ്രം ഹിയർ ടു എറ്റേണിറ്റിയിൽ പ്രീവിറ്റ് ഏത് സംഗീതോപകരണമാണ് കളിച്ചത്?,instru,ENTY
സാർജ് സ്റ്റീലിന് ലോഹ കൈ എവിടെ നിന്ന് ലഭിച്ചു?,other,LOC
എന്താണ് പോപ്‌കോൺ പോപ്പ് ആക്കുന്നത്?,reason,DESC
ദി നൈറ്റ് ഓഫ് ദി ഇഗ്വാന എഴുതിയത് ആരാണ്?,ind,HUM
നിങ്ങളുടെ മുടി വേഗത്തിൽ വളരുന്നത് എവിടെയാണ്?,body,ENTY
197 മുതൽ 195 വരെ ഏത് രാജ്യത്താണ് ഗുസ്താവ് അഞ്ചാമൻ ഭരിച്ചത്?,country,LOC
അമ്മയെയും കുഞ്ഞിനെയും വരച്ചതാരാണ്?,ind,HUM
മിസിസിപ്പി നദിയുടെ വേഗത എത്രയാണ്?,speed,NUM
ലോകത്തിന്റെ ഏത് മേഖലയിലാണ് ആറ് ദിവസത്തെ യുദ്ധം നടന്നത്?,other,LOC
ഭൂമിയിൽ നിന്ന് ദൃശ്യമാകുന്ന ഏറ്റവും തിളക്കമുള്ള നക്ഷത്രം ഏതാണ്?,other,LOC
റോബർട്ട് റെഡ്ഫോർഡ് ആദ്യമായി സംവിധാനം ചെയ്ത ചിത്രം?,cremat,ENTY
മാവോയുടെ രണ്ടാമത്തെ പേര് എന്തായിരുന്നു?,ind,HUM
ഏത് സിനിമയിലാണ് ജൂഡ് ലോ അഭിനയിച്ചത്?,cremat,ENTY
ഹൈനകൾ എവിടെയാണ് താമസിക്കുന്നത്?,other,LOC
ആരാണ് `` രാജ്ഞി അമ്മ?,desc,HUM
ബെൽജിയത്തിൽ ഏറ്റവും കൂടുതൽ സംസാരിക്കുന്ന ഭാഷ ഏതാണ്?,lang,ENTY
ആർക്കാണ് കൂടുതൽ ഡിഎൻഎ ഉള്ളത് - ഒരു പുരുഷനോ സ്ത്രീയോ?,ind,HUM
എന്താണ് വേലക്കാരി ആചാരങ്ങൾ?,def,DESC
"ഏത് കുട്ടികളുടെ കഥയിലാണ് ഈ വരി അടങ്ങിയിരിക്കുന്നത്: `` സിൻഡർസ്ലട്ട് വരൂ, ഈ കമ്പിളി എനിക്ക് വേണ്ടി പിടിക്കൂ'?",cremat,ENTY
വംശീയത കൈകാര്യം ചെയ്യുന്നതിന് ഏത് തലത്തിലുള്ള സർക്കാർ അല്ലെങ്കിൽ സർക്കാർ ഏജൻസിയാണ് ഉത്തരവാദി?,gr,HUM
ഒരു സോക്കർ ഗെയിമിൽ എത്ര റഫറിമാർ പ്രവർത്തിക്കുന്നു?,count,NUM
വിസ്‌കിയും സ്വീറ്റ് വെർമൗത്തും ഉപയോഗിച്ച് നിങ്ങൾ എന്ത് കോക്ടെയ്‌ലാണ് ഉണ്ടാക്കുന്നത്?,food,ENTY
നിങ്ങൾ എങ്ങനെയാണ് സ്‌പാനിഷിൽ `` ഫ്രഷ്‌' എന്ന് പറയുന്നത്?,termeq,ENTY
ക്രാൻബെറി ബോഗുകളിൽ തേനീച്ചക്കൂടുകൾ എന്താണ് ചെയ്യുന്നത്?,desc,DESC
എന്താണ് ലിൻമൗത്ത് വെള്ളപ്പൊക്കത്തിന് കാരണമായത്?,reason,DESC
മിഷിഗണിൽ തുലിപ് ഫെസ്റ്റിവൽ എപ്പോഴാണ്?,date,NUM
ആരാണ് എൽ നിനോ എന്ന പേര് കൊണ്ടുവന്നത്?,ind,HUM
മാഡിലിൻ കാൻ ജീൻ വൈൽഡറിനൊപ്പം അഭിനയിച്ച സിനിമ ഏതാണ്?,cremat,ENTY
ഗോൾഡൻ ഗേറ്റ് പാലം ഏത് തരത്തിലുള്ള പാലമാണ്?,other,ENTY
ഏത് ഏകാധിപതിക്കാണ് ``എൽ മാക്സിമോ' എന്ന വിളിപ്പേര് ഉള്ളത്?,ind,HUM
ഏത് സ്റ്റീരിയോ നിർമ്മാതാവാണ് `` സമയത്തേക്കാൾ അൽപ്പം മുന്നിലുള്ളത്?,gr,HUM
ഏത് യു.എസ് നഗരമാണ് പസഫിക്കിന്റെ രാജ്ഞി?,city,LOC
ഏത് ടിവി സിറ്റ്‌കോം കഥാപാത്രത്തിന് എഥൽ പോട്ടർ എന്ന കന്നി നാമം ഉണ്ടായിരുന്നു?,ind,HUM
ആദ്യത്തെ ലൈഫ്‌സേവർ ഫ്ലേവർ എന്തായിരുന്നു?,food,ENTY
ഇംഗ്ലീഷ് ഭാഷയിലെ ഏറ്റവും പ്രശസ്തമായ ഡയറി ആരാണ് സൂക്ഷിച്ചത്?,ind,HUM
മികച്ച 1 സിംഗിൾസ് എനിക്ക് എവിടെ നിന്ന് കണ്ടെത്താനാകും?,other,LOC
ഒരു കുക്കുമ്പറിന്റെ ഉള്ളിൽ പുറത്തെ വായുവിനേക്കാൾ എത്ര ഡിഗ്രി തണുപ്പ് കൂടുതലാണ്?,count,NUM
ഏത് സ്പാനിഷ് കലാകാരനാണ് ക്രൂശീകരണം വരച്ചത്?,ind,HUM
യഹൂദ ബൈബിൾ എന്താണ് വിളിക്കുന്നത്?,cremat,ENTY
എന്തുകൊണ്ടാണ് പുല്ല് പച്ചയായിരിക്കുന്നത്?,reason,DESC
എന്താണ് ഫയർവാൾ?,def,DESC
റോയിട്ടറിന്റെയും ടൈംസ് ഓഫ് ലണ്ടന്റെയും മോസ്കോ ലേഖകനായി സേവനമനുഷ്ഠിച്ച ചാര നോവലിസ്റ്റ്?,ind,HUM
ഏത് എണ്ണക്കമ്പനിയാണ് അതിന്റെ പുതിയ അന്താരാഷ്ട്ര നാമമായി ജാപ്പനീസ് ഭാഷയിൽ `` സ്റ്റാൾഡ് കാർ' എന്നർത്ഥമുള്ള ഒരു വാക്ക് തിരഞ്ഞെടുത്തത്?,gr,HUM
സ്പൈഡർ മാന്റെ വെബ് ബാഷ്പീകരിക്കപ്പെടാൻ എത്ര സമയമെടുക്കും?,period,NUM
റാൻഡി സ്റ്റീവൻ ക്രാഫ്റ്റിന്റെ അഭിഭാഷകൻ ആരായിരുന്നു?,ind,HUM
സ്പൈസ് ഐലൻഡ് എന്നറിയപ്പെടുന്നത്?,other,LOC
പേഴ്‌സൺ ടു പേഴ്‌സണിന്റെ ആദ്യ ഹോസ്റ്റ് ആരായിരുന്നു?,ind,HUM
യോഗി കരടിയുടെ പിന്നാലെ എപ്പോഴും ഉണ്ടായിരുന്ന റേഞ്ചറുടെ പേര്,ind,HUM
"ഭാഗ്യചക്രം, പ്രണയികൾ, മരണം എന്നിവ ഉൾപ്പെടുന്ന കാർഡുകളുടെ ഡെക്ക് ഏതാണ്?",other,ENTY
സ്റ്റാച്യു ഓഫ് ലിബർട്ടി അവളുടെ കാലിൽ എന്താണ് ധരിക്കുന്നത്?,other,ENTY
റെന്റ് എ കാറുകളിലെ സൂപ്പർ താരം ആരാണ്?,ind,HUM
ഏത് നഗരത്തിലാണ്?,city McCarren Airport is located,LOC
"ഫ്ലോട്ട് ബോൾ, ബോൾകോക്ക്, ഓവർഫ്ലോ ട്യൂബ് എന്നിവ അടങ്ങിയിരിക്കുന്ന ഗാർഹിക സൗകര്യം ഏതാണ്?",other,ENTY
ബെറ്റി ബൂപ്പിന്റെ നായയുടെ പേരെന്തായിരുന്നു?,animal,ENTY
ഒരു ബീവറിന്റെ ജീവിതത്തിന്റെ എത്ര ഭാഗമാണ് നീന്തലിനായി ചെലവഴിക്കുന്നത്?,perc,NUM
സാൻ ലൂയിസ് റേയുടെ പാലം എന്താണ് നിർമ്മിച്ചത്?,substance,ENTY
സാമ്പത്തിക വിദഗ്ധർ എന്താണ് ചെയ്യുന്നത്?,desc,DESC
ഏറ്റവും കൂടുതൽ ആടുകൾ ഉള്ള രാജ്യം?,country,LOC
വെസ്റ്റ് ഇൻഡീസിലെ ഡൊമിനിക്കയിൽ ഒരു വർഷം താമസിക്കാൻ എന്റെ നായയെ കൂടെ കൊണ്ടുപോകാൻ ഞാൻ എന്താണ് ചെയ്യേണ്ടത്?,desc,DESC
ലോകത്തിലെ ഏറ്റവും വലിയ കോഗ്നാക് ഇറക്കുമതി ചെയ്യുന്ന രാജ്യം ഏത്?,country,LOC
ജോണി വാക്കർ ബ്ലാക്ക് ലേബലിന് എത്ര വയസ്സുണ്ട്?,count,NUM
SIDS എന്താണ് സൂചിപ്പിക്കുന്നത്?,exp,ABBR
ഗ്രെനഡയുടെ പ്രധാന ചരക്ക് കയറ്റുമതി എന്താണ്?,other,ENTY
"കറുപ്പും വെളുപ്പും ഉള്ള 1 സെന്റ് സ്റ്റാമ്പിന് എത്ര വില വരും, അതിൽ തോമസ് ജെഫേഴ്സൺ ,?",money,NUM
എന്താണ് ക്ലിറ്റോറിസിനെ സെൻസിറ്റീവ് ആക്കുന്നത്?,reason,DESC
"ഏറ്റവും കൂടുതൽ സമയ മേഖലകളുള്ള രാജ്യമേതാണ്, 11 എണ്ണം?",country,LOC
മാൻഡ്രേക്ക് എന്ത് മാജിക്കാണ് ഉപയോഗിക്കുന്നത്?,other,ENTY
സ്റ്റാൻഫോർഡ് യൂണിവേഴ്സിറ്റിയുടെ പ്രസിഡന്റ് ആരാണ്?,ind,HUM
ആരുടെ ആദ്യ പ്രസിഡൻഷ്യൽ ഉത്തരവ് ഇതായിരുന്നു: ```നമുക്ക് ഈ ദൈവത്തെ വായുവിൽ എത്തിക്കാം''?,ind,HUM
1899-ൽ ലെവർകുസന്റെ ബയേർ എജി വാണിജ്യപരമായി എന്താണ് അവതരിപ്പിച്ചത്?,other,ENTY
ലോഗൻ എയർപോർട്ട് ഏത് നഗരത്തിലാണ്?,city,LOC
എന്താണ് നാനോമീറ്റർ?,def,DESC
ഒരു റെഗുലേഷൻ സോഫ്റ്റ്ബോൾ ഗെയിമിൽ എത്ര ഇന്നിംഗ്സുകൾ ഉണ്ട്?,count,NUM
എപ്പോഴാണ് CNN സംപ്രേഷണം ചെയ്തത്?,date,NUM
ഗ്രേറ്റ് തടാകങ്ങളിലെ ഏറ്റവും വലിയ നഗരം ഏതാണ്?,city,LOC
കെന്റക്കി സർവകലാശാലയുടെ ടെലിഫോൺ നമ്പർ എന്താണ്?,code,NUM
ആരാണ് ബേസ്ബോൾ കണ്ടുപിടിച്ചത്?,ind,HUM
ബ്രിഗാം യങ്ങിന് എത്ര ഭാര്യമാരുണ്ടായിരുന്നു?,count,NUM
മുഖത്തെ പാടുകൾ മറയ്ക്കാൻ വിപണിയിലുള്ള ഏത് ഉൽപ്പന്നമാണ് നല്ലത്?,product,ENTY
കോണി ഐലൻഡ് ബോർഡ്‌വാക്കിന്റെ നീളം എത്രയാണ്?,dist,NUM
പയർ-സൂപ്പ് മൂടൽമഞ്ഞിന് പേരുകേട്ട നഗരം ഏതാണ്?,city,LOC
`` ജാനെല്ലെ' എന്താണ് അർത്ഥമാക്കുന്നത്?,def,DESC
മറ്റൊരു നഗരത്തിലെ പത്രം എനിക്ക് എങ്ങനെ ലഭിക്കും?,manner,DESC
കെവിൻ കോസ്റ്റ്നർ അഭിനയിച്ച സിയോക്സ് ഇന്ത്യൻസിനെക്കുറിച്ചുള്ള ഒരു സിനിമയുടെ പേര്,cremat,ENTY
ഡക്കോട്ട പ്രദേശമായ ഡെഡ്‌വുഡിൽ ഒരു പോക്കർ ഗെയിമിനിടെ പിന്നിൽ വെടിയേറ്റത് ആരാണ്?,ind,HUM
അറേബ്യൻ കുതിരയുടെ വ്യതിരിക്തമായ ശാരീരിക സവിശേഷതകൾ എന്തൊക്കെയാണ്?,desc,DESC
ഇടിയുടെ ഭയം എന്താണ്?,dismed,ENTY
ഏറ്റവും കൂടുതൽ ആളുകളെ കൊന്ന മൃഗം ഏതാണ്?,animal,ENTY
വ്യോമിംഗിൽ എത്ര കോളേജുകളുണ്ട്?,count,NUM
"""കിഴക്കിന്റെ പ്രഭു"" എന്നർഥമുള്ള പേര് ഏത് റഷ്യൻ തുറമുഖത്തിനുണ്ട്?",city,LOC
സ്റ്റോക്കുകൾ ഓൺലൈനായി എവിടെ വ്യാപാരം ചെയ്യാം?,other,LOC
ഹേസ്റ്റിംഗ്സ് യുദ്ധം എപ്പോഴായിരുന്നു?,date,NUM
ഏത് തരത്തിലുള്ള ഫയലാണ് .dbf വിപുലീകരണമുള്ളത്?,other,ENTY
എപ്പോഴാണ് മുഹമ്മദ് ജീവിച്ചിരുന്നത്?,date,NUM
"ചിത്രകാരന്മാരായ മോനെ, സിസ്‌ലി, പിസാരോ, റിനോയർ, ഡെഗാസ് എന്നിവരോട് എന്ത് അപകീർത്തികരമായ പദം പ്രയോഗിച്ചു?",termeq,ENTY
എന്താണ് ഒരു വോപ്പ്?,def,DESC
പാറകൾ എവിടെ നിന്ന് വരുന്നു?,desc,DESC
ഒരു കാർ സ്റ്റീരിയോയിൽ പശ്ചാത്തല ശബ്ദം എങ്ങനെ നിർത്താം?,manner,DESC
നേപ്പാളിൽ ആളുകൾ എവിടെയാണ് മല കയറുന്നത്?,mount,LOC
രാജ്യത്തെ ഏറ്റവും മികച്ച കോളേജ് ഏതാണ്?,gr,HUM
എന്താണ് വിസ്കോസിറ്റി?,def,DESC
ടോണി ഡാൻസയ്‌ക്കൊപ്പം അലീസ മിലാനോ അഭിനയിച്ച സിറ്റ്‌കോമിന്റെ പേരെന്താണ്?,cremat,ENTY
നോർഡിക് രാജ്യങ്ങൾ ഏതൊക്കെയാണ്?,country,LOC
അമേരിക്കൻ ബിൽ ഓഫ് റൈറ്റ്സിലെ അഞ്ചാം ഭേദഗതിയെക്കുറിച്ചുള്ള വിവരങ്ങൾ ഇന്റർനെറ്റിൽ എവിടെ നിന്ന് ലഭിക്കും?,other,LOC
വടക്ക് ഇല്ലിനോയിസ് ഏത് യു.എസ് സംസ്ഥാന അതിർത്തിയാണ്?,state,LOC
ജൂഡ് ലോ അഭിനയിച്ച ഒരു സിനിമയുടെ പേര്,cremat,ENTY
പീച്ചി ഓട്സ് മഫിനുകൾ ബേക്കിംഗ് ചെയ്യുന്നതിനുള്ള താപനില എത്രയാണ്?,temp,NUM
തേനീച്ചകളോടുള്ള ഭയം എന്താണ്?,dismed,ENTY
പ്രൊഫസർ ഹംബർട്ട് 12 വയസ്സുള്ള ഒരു പെൺകുട്ടിയുമായി പ്രണയത്തിലാണെന്ന് വ്‌ളാഡിമിർ നബോക്കോവ് അവതരിപ്പിക്കുന്ന നോവൽ എന്താണ്?,cremat,ENTY
എന്താണ് ഗ്രീൻ ബോഗ്?,def,DESC
സാന്താക്ലോസിന്റെ മിത്ത് എവിടെ നിന്നാണ് ഉത്ഭവിച്ചത്?,other,LOC
ഒരു ചെയർബൗണ്ട് ബാസോഫോബിക് ഭയം എന്താണ്?,other,ENTY
ലോഗൻ ഇന്റർനാഷണൽ എയർപോർട്ട് ഏത് നഗരത്തിലാണ് സർവീസ് നടത്തുന്നത്?,city,LOC
'ദി ഇൻക്രെഡിബിൾ ഹൾക്ക്' ആയി മാറിയ ഗുസ്തി താരം?,ind,HUM
Reims-ലേക്ക് വിനോദസഞ്ചാരികളെ ആകർഷിക്കുന്നതെന്താണ്?,other,LOC
സ്റ്റീവ് മക്വീനും എഡ്വേർഡ് ജി റോബിൻസണും സിൻസിനാറ്റി കിഡിൽ എന്ത് ഗെയിം കളിക്കുന്നു?,sport,ENTY
1893-ൽ വിറ്റ്‌കോംബ് ജഡ്‌സൺ ഏത് ഫാസ്റ്റനറിന് പേറ്റന്റ് നേടി?,other,ENTY
ഫ്രാൻസിൽ ഒരു വഴുതന എന്താണ്?,def,DESC
1965-ലെ ബ്രോഡ്‌വേ ഹിറ്റ് ഗോൾഡൻ ബോയിലെ താരം ആരായിരുന്നു?,ind,HUM
യു.എസിൽ എവിടെയാണ് പ്രോക്ടർ & ഗാംബിൾ പ്രവർത്തിക്കുന്നത്?,other,LOC
വില്യം ബൂത്തും ഭാര്യ കാതറിനും ചേർന്ന് സ്ഥാപിച്ച സൈന്യം?,gr,HUM
റിബാവിറിൻ എന്താണ് ഉൾക്കൊള്ളുന്നത്?,substance,ENTY
വെയിലിൽ ഒന്നാം സ്ഥാനത്തുള്ള ശീതളപാനീയത്തിന് പേര് നൽകുക.,food,ENTY
ജനപ്രതിനിധിസഭയിലെ അംഗങ്ങളുടെ ഇ-മെയിൽ വിലാസങ്ങളുടെ പട്ടികയുടെ വെബ് വിലാസം എന്താണ്?,other,LOC
അവളുടെ യഥാർത്ഥ പേര് എന്തായിരുന്നു?,ind,HUM
എന്തുകൊണ്ടാണ് ചെവികൾ നിങ്ങളുടെ സന്തുലിതാവസ്ഥയുടെ കേന്ദ്രമായിരിക്കുന്നത്?,reason,DESC
ആരാണ് ടൂത്ത് ബ്രഷ് കണ്ടുപിടിച്ചത്?,ind,HUM
ക്രീപ്‌സ് പാടിയ ആ ജനപ്രിയ ഗാനത്തിന്റെ പേരെന്തായിരുന്നു?,cremat,ENTY
മ്ലേച്ഛമായ ഹിമമനുഷ്യൻ എവിടെയാണ് അലഞ്ഞുതിരിയാൻ പറയുന്നത്?,other,LOC
തനിച്ചായിരിക്കാൻ എന്താണ് ഭയം?,dismed,ENTY
``കാരണം' എന്നതിന്റെ ചിഹ്നം എത്ര ഡോട്ടുകൾ ഉണ്ടാക്കുന്നു?,count,NUM
പാലിൽ ലാക്ടോബാസിലസ് ബൾഗാറിക്കസ് ചേർത്താൽ നിങ്ങൾക്ക് എന്ത് ലഭിക്കും?,food,ENTY
"ക്ലാസിഫൈഡ് പരസ്യങ്ങൾ വായിക്കുമ്പോൾ, EENTY : മറ്റുള്ളവ എന്തിനെ സൂചിപ്പിക്കുന്നു?",exp,ABBR
ഒക്ടോപസിന് എത്ര ഹൃദയങ്ങളുണ്ട്?,count,NUM
ഏറ്റവും വലിയ വിത്ത് ഏത് ചെടിയിലാണ്?,plant,ENTY
1979 മുതൽ നിങ്ങൾക്ക് ഇസ്രായേലിലേക്ക് ഓടിക്കാൻ അനുവദിച്ച ഒരേയൊരു രാജ്യം ഏതാണ്?,country,LOC
"ഒരു സൈക്കിൾ യാത്രികൻ വിളിച്ചുപറയുമ്പോൾ എന്താണ് സമീപിക്കുന്നത്: `` എണ്ണ""?",other,ENTY
"ഏത് ബേസ്ബോൾ താരമാണ് പ്രതിവർഷം $1 , 000 കരാർ താൻ സമ്പാദിച്ചില്ലെന്ന് തോന്നിയതിനാൽ നിരസിച്ചത്?",ind,HUM
ഏത് തരത്തിലുള്ള കായിക വിനോദമാണ് പലപ്പോഴും ഹൂളിഗൻസുമായി ബന്ധപ്പെട്ടിരിക്കുന്നത്?,sport,ENTY
ഏത് വീഡിയോ ഗെയിം ഹീറോയെയാണ് അദ്ദേഹത്തിന്റെ ചില ആരാധകർ ചോമ്പർ എന്ന് വിളിക്കുന്നത്?,ind,HUM
ഒരു ടെൻപിൻ ബൗളിംഗ് ബോളിൽ എത്ര ദ്വാരങ്ങളുണ്ട്?,count,NUM
ഇംഗ്ലീഷ് ഭാഷയിലെ ഏറ്റവും ദൈർഘ്യമേറിയ വാക്ക് ഏതാണ്?,word,ENTY
ഏറ്റവും കൂടുതൽ സ്വവർഗ്ഗാനുരാഗികൾ താമസിക്കുന്ന നഗരം അല്ലെങ്കിൽ സംസ്ഥാനം ഏതാണ്?,other,LOC
"മുൻ സിനിമാ താരം നോറ ഡെസ്മണ്ട്, സെക്രട്ടറി മിസ്സിസ് വിഗ്ഗിൻസ്, യൂനിസ് എന്ന വീട്ടമ്മ എന്നിവരടങ്ങിയ ടിവി ഹാസ്യതാരങ്ങളുടെ കഥാപാത്രങ്ങൾ ഏതാണ്?",ind,HUM
എന്താണ് ബിയറിന്റെ കരടി'?,animal,ENTY
ഐബിഎം-അനുയോജ്യമായ മെഷീനുകളിൽ പ്രവർത്തിക്കുന്ന ഓപ്പറേറ്റിംഗ് സിസ്റ്റത്തിന് പേര് നൽകുക,other,ENTY
'ജസ്റ്റിൻ' എന്ന പേരിന്റെ അർത്ഥമെന്താണ്?,def,DESC
ശരീരത്തിന്റെ എത്ര ശതമാനം പേശികളാണ്?,perc,NUM
"കിടാവിന്റെ റോസ്റ്റുകൾ, ചോപ്സ് എന്നിവയ്ക്കൊപ്പം ഏത് നിറത്തിലുള്ള ഡ്രൈ വൈൻ നൽകണം?",color,ENTY
ഒരു ഗോൾഫ് പന്ത് എന്താണ് നിർമ്മിച്ചിരിക്കുന്നത്?,substance,ENTY
എന്താണ് അമിഷ് മതം?,def,DESC
ന്യൂ ഇംഗ്ലണ്ടിൽ ഒരു ശരാശരി ഡേകെയർ ദാതാവിന് എന്ത് പ്രതിഫലം ലഭിക്കും?,money,NUM
പെൻസിൽവാനിയ ഖനന മേഖലകളിൽ 187-കളിലെ ഐറിഷ് ഭീകരസംഘത്തിന്റെ പേരെന്തായിരുന്നു?,gr,HUM
1939 ലെ സ്റ്റേജ്‌കോച്ച് എന്ന സിനിമയിൽ റിംഗോ കിഡ് ആയി അഭിനയിച്ചത് ആരാണ്?,ind,HUM
ജോൺ എഫ്. കെന്നഡി മരിച്ച സ്ഥലത്ത് നിന്ന് 1 അടി അകലെ ആരാണ് മരിച്ചത്?,ind,HUM
എന്താണ് `` കോപ്പർടോപ്പ്' ബാറ്ററി?,def,DESC
വാട്ടർ കാരിയർ ഏത് രാശിചിഹ്നമാണ്?,symbol,ENTY
സ്റ്റോക്ക് മാർക്കറ്റിൽ നിങ്ങൾ ഏത് മൃഗങ്ങളെയാണ് കാണുന്നത്?,animal,ENTY
എന്താണ് നിറം?,def,DESC
www.questions.com എന്ന സൈറ്റ് എപ്പോഴാണ് തുറക്കാൻ പോകുന്നത്?,date,NUM
